(0, 0)
(0, 1)
(0, 2)
(0, 3)
(0, 4)
(0, 5)
(0, 6)
(0, 7)
(0, 8)
(0, 9)
(0, 10)
(0, 11)
(0, 12)
(0, 13)
(0, 14)
(0, 15)
(0, 16)
(0, 17)
(0, 18)
(0, 19)
(0, 20)
(0, 21)
(0, 22)
(0, 23)
(0, 24)
(0, 25)
(0, 26)
(0, 27)
(0, 28)
(0, 29)
(0, 30)
(0, 31)
(0, 32)
(0, 33)
(0, 34)
(0, 35)
(0, 36)
(0, 37)
(0, 38)
(0, 39)
(0, 40)
(0, 41)
(0, 42)
(0, 43)
(0, 44)
(0, 45)
(0, 46)
(0, 47)
(0, 48)
(0, 49)
(0, 50)
(0, 51)
(0, 52)
(0, 53)
(0, 54)
(0, 55)
(0, 56)
(0, 57)
(0, 58)
(0, 59)
(0, 60)
(0, 61)
(0, 62)
(0, 63)
(0, 64)
(0, 65)
(0, 66)
(0, 67)
(0, 68)
(0, 69)
(0, 70)
(0, 71)
(0, 72)
(0, 73)
(0, 74)
(0, 75)
(0, 76)
(0, 77)
(0, 78)
(0, 79)
(0, 80)
(0, 81)
(0, 82)
(0, 83)
(0, 84)
(0, 85)
(0, 86)
(0, 87)
(0, 88)
(0, 89)
(0, 90)
(0, 91)
(0, 92)
(0, 93)
(0, 94)
(0, 95)
(0, 96)
(0, 97)
(0, 98)
(0, 99)
(0, 100)
(0, 101)
(1, 101)
(2, 101)
(3, 101)
(4, 101)
(5, 101)
(6, 101)
(7, 101)
(8, 101)
(9, 101)
(10, 101)
(11, 101)
(12, 101)
(13, 101)
(14, 101)
(15, 101)
(16, 101)
(17, 101)
(18, 101)
(19, 101)
(20, 101)
(21, 101)
(22, 101)
(23, 101)
(24, 101)
(25, 101)
(26, 101)
(27, 101)
(28, 101)
(29, 101)
(30, 101)
(31, 101)
(32, 101)
(33, 101)
(34, 101)
(35, 101)
(36, 101)
(37, 101)
(38, 101)
(39, 101)
(40, 101)
(41, 101)
(42, 101)
(43, 101)
(44, 101)
(45, 101)
(46, 101)
(47, 101)
(48, 101)
(49, 101)
(50, 101)
(51, 101)
(52, 101)
(53, 101)
(54, 101)
(55, 101)
(56, 101)
(57, 101)
(58, 101)
(59, 101)
(60, 101)
(61, 101)
(62, 101)
(63, 101)
(64, 101)
(65, 101)
(66, 101)
(67, 101)
(68, 101)
(69, 101)
(70, 101)
(71, 101)
(72, 101)
(73, 101)
(74, 101)
(75, 101)
(76, 101)
(77, 101)
(78, 101)
(79, 101)
(80, 101)
(81, 101)
(82, 101)
(83, 101)
(84, 101)
(85, 101)
(86, 101)
(87, 101)
(88, 101)
(89, 101)
(90, 101)
(91, 101)
(92, 101)
(93, 101)
(94, 101)
(95, 101)
(96, 101)
(97, 101)
(98, 101)
(99, 101)
